"Movie","Release_Date","Distributor","Budget_2008","Total_Gross","Opening_Weekend_Gross","Genre","MPAA","Run_Time","Num_Screens","Gross_Per_Screen","IMDB_Score","Academy_Award","Google_Hits","Rotten_Tomatoes"
"Smart People","04/11/08","Miramax",NA,9496882,4092466,"Romantic Comedy","R",95,1106,3700,6.4,4,45500,49
"Soul Men","11/07/08","MGM",NA,12081447,5401605,"Comedy","R",100,2044,2643,6.5,1,96900,45
"Space Chimps","07/18/08","FOX – Distributor",3.7e+07,30105968,7181374,"Adventure","G",81,2511,2859.97,4.5,0,32000,37
"Space Station","04/19/02","IMAX Films",NA,81882005,13744,"Documentary","Not Rated",47,NA,NA,7.4,0,120000,87
"Speed Racer","05/09/08","Warner Bros.",1.2e+08,43945766,18561337,"Action","PG",135,3606,5147.35,6.4,5,621000,37
"Star Wars: The Clone Wars","08/15/08","Warner Bros.",8500000,35154336,14611273,"Adventure","PG",98,3452,4232.7,5.4,1,119000,19
"Step Brothers","07/25/08","Columbia Pictures",6.5e+07,100468793,30940732,"Comedy","R",98,3094,10000.24,6.7,3,612000,55
"Step Up 2 the Streets","02/14/08","Buena Vista",NA,58017783,22125429,"Drama","PG-13",98,2470,8957.66,5.5,0,74700,26
"Stop-Loss","03/28/08","Paramount",2.5e+07,10911750,4555117,"Drama","R",112,1291,3528,6.6,0,89800,64
"Strange Wilderness","02/01/08","Paramount",NA,6563357,3001719,"Comedy","R",87,1208,2485,5.1,1,132000,0
"Street Kings","04/11/08","Fox Searchlight",2e+07,26415649,12469631,"Thriller/Suspense","R",109,2467,5054.57,7,1,139000,37
"Superhero Movie","03/28/08","MGM",3.5e+07,25871834,9510297,"Comedy","PG-13",75,2960,3212.94,4.3,0,71400,15
"Sweeney Todd: The Demon Barber of Fleet Street","12/21/07","Paramount Pictures",5e+07,52898073,13635390,"Musical","R",116,1249,10917.05,7.8,4,1430000,85
"Swing Vote","08/01/08","Walt Disney",2.1e+07,16284360,6230669,"Comedy","PG-13",120,2213,2815.49,6.1,2,2760000,37
"Tell No One",NA,NA,NA,6177192,169707,"Thriller/Suspense","Not Rated",131,8,21213,7.6,2,423000,93
"The Band's Visit",NA,NA,NA,3053823,NA,"Comedy","PG-13",87,7,9542,7.7,0,54800,98
"The Bank Job","03/07/08","Lionsqate",2e+07,30028592,5935256,"Thriller/Suspense","R",111,1603,3702.59,7.5,0,298000,79
"The Boy in the Striped Pyjamas","11/07/08","Miramax",12500000,9030581,253085,"Drama","PG-13",94,17,14887,7.8,0,155000,65
"The Bucket List","12/25/07","Warner Bros.",4.5e+07,93452056,582534,"Comedy","PG-13",97,16,36408.38,7.5,16,383000,42
"The Chronicles of Narnia: Prince Caspian","05/16/08","Buena Vista",2.25e+08,141621490,55034805,"Adventure","PG",150,3929,14007.33,6.9,2,709000,66
"The Counterfeiters",NA,NA,6340000,5488570,NA,"Drama","R",98,8,10939,7.7,0,308000,94
"The Curious Case of Benjamin Button","12/25/08","Paramount",1.5e+08,127506326,26853816,"Drama","PG-13",166,2988,8987.22,8.1,9,317000,71
"The Dark Knight","07/18/08","Warner Bros.",1.85e+08,533316061,159411483,"Action","PG-13",152,4366,36282.98,8.9,13,286000,94
"The Day the Earth Stood Still","12/12/08","FOX – Distributor, Production Company",8e+07,79366978,30480153,"Adventure","PG-13",104,3560,8561.84,5.6,4,160000,21
"The Diving Bell and the Butterfly",NA,NA,1.4e+07,5107379,NA,"Drama","PG-13",112,3,25240,8.1,1,454400,93
"The Duchess","09/19/08","Paramount",NA,13823741,190426,"Drama","PG-13",110,7,27203.71,7,3,77700,61
"The Express","10/04/08","Universal – Distributor",4e+07,9589875,4562675,"Drama","PG",130,2808,1625,7.1,1,109000,62
"The Eye","02/01/08","Lionsqate",1.2e+07,31418697,12425776,"Thriller/Suspense","PG-13",98,2436,5100.89,5.3,0,78500,22
"The Family That Preys","01/13/08","Lionsqate",NA,36405889,17381218,"Comedy","PG-13",111,2070,8396.72,3.5,5,9300000,53
"The Forbidden Kingdom","04/18/08","Lionsqate",5.5e+07,52040293,21401121,"Action","PG-13",113,3151,6791.85,6.8,0,1420000,64
"The Great Debaters","12/25/07","Weinstein Co.",1.5e+07,30226144,9184022,"Drama","PG-13",126,1171,7842.89,7.6,6,531000,79
"The Happening","06/13/08","FOX – Distributor, Production Company",6e+07,64506874,30517109,"Thriller/Suspense","R",91,2986,10220.06,5.2,1,267000,18
"The Haunting of Molly Hartley","10/31/08","Freestyle Releasing",5e+06,13350177,5423315,"Thriller/Suspense","PG-13",82,2652,2044.99,3.6,0,20000,3
"The House Bunny","08/22/08","Columbia Pictures",NA,48237389,16036,"Comedy","PG-13",97,2714,3750.07,5.6,0,132000,39
"The Incredible Hulk","06/13/08","Universal – Distributor",1.5e+08,134518390,55414050,"Adventure","PG-13",112,3505,15810,7.2,9,272000,66
"The Kite Runner","12/14/07","Paramount Vantage",2e+07,15797907,471713,"Drama","PG-13",128,35,13478,7.8,0,1240000,66
"The Longshots","08/22/08","MGM",2.3e+07,11508423,13215,"Drama","PG",94,2089,1953,3.4,0,316000,40
"The Love Guru","06/20/08","Paramount",6.2e+07,32235793,13907130,"Comedy","PG-13",87,3012,4617.24,3.9,4,44600,14
"The Mummy: Tomb of the Dragon Emperor","08/01/08","Universal – Distributor, Production Company",1.45e+08,102491776,40457770,"Adventure","PG-13",112,3760,10760.05,5.2,0,811000,13
"The Orphanage",NA,NA,NA,6821123,NA,"Horror","R",105,19,12280,7.7,0,875000,86
"The Other Boleyn Girl","02/29/08","Columbia Pictures",3.5e+07,26814957,8203061,"Drama","PG-13",115,1166,7035.22,6.7,2,171000,41
"The Pineapple Express","08/06/08","Sony Pictures",2.7e+07,87341380,23245025,"Comedy","R",111,3072,7566.74,7.2,1,159000,68
"The Pirates Who Don't Do Anything: A VeggieTales Movie","01/11/08","Universal – Distributor, Production Company",NA,12701880,4251320,"Comedy","G",85,1337,4251320,5.2,0,51200,43
"The Reader","12/10/08","Weinstein Co.",3.2e+07,34194407,2380376,"Drama","R",124,8,21006,7.7,8,1300000,62
"The Rocker","08/20/08","FOX – Distributor",1.5e+07,6409528,4861,"Comedy","PG-13",102,2784,947,6.3,0,75700,39
"The Ruins","04/04/08","Paramount",8e+06,17427926,8003241,"Horror","R",90,2812,2846.1,6,0,181000,46
"The Savages","11/28/07","Fox Searchlight",NA,6610326,151859,"Drama","R",113,4,37965,7.4,6,115000,89
"The Secret Life of Bees","10/17/08","FOX – Distributor",1.1e+07,37766350,10527799,"Drama","PG-13",114,1,10527799,7.1,3,56200,58
"The Sisterhood of the Traveling Pants 2","08/06/08","Warner Bros.",NA,44087387,10678430,"Adventure","PG-13",117,2707,3944.75,6.2,1,51100,64
"The Spiderwick Chronicles","02/14/08","Paramount",9e+07,71148699,24740537,"Adventure","PG",96,3847,6431.12,6.8,3,555000,79
"The Spirit","12/25/08","Lionsqate",NA,19781879,6463278,"Action","PG-13",103,2509,2576.04,5,1,356000,15
"The Strangers","05/30/08","Universal – Distributor",1e+07,52534295,20997985,"Thriller/Suspense","R",86,2466,8515,6.1,0,56600,44
"The Tale of Despereaux","12/19/08","Universal – Distributor, Production Company",NA,50818750,10103675,"Adventure","G",93,2758,3663.41,6.1,14,107000,55
"The Visitor","04/11/08","Overture Films",NA,9422422,86488,"Comedy","PG-13",104,4,21622,7.9,1,331000,90
"The Water Horse: Legend of the Deep","12/25/07","Sony Pictures",4.5e+07,40412817,14070469,"Drama","PG",112,2772,5075.93,6.6,2,231000,73
"The Women","09/12/08","Picturehouse",16500000,26902075,10115121,"Comedy","PG-13",114,2962,3414.96,4.7,7,79400,13
"The X-Files: I Want to Believe","07/25/08","20th Century Fox",3e+07,20981633,10021753,"Action","PG-13",104,3185,3146.55,5.9,0,172000,32
"Then She Found Me","04/25/08","ThinkFilm",3500000,3735717,72594,"Romantic Comedy","R",100,9,8066,6.1,3,331000,51
"There Will Be Blood","12/26/07","Paramount Vantage",2.5e+07,40218903,302845,"Drama","R",158,2,151422.5,8.2,4,154000,91
"Traitor","08/27/08","Overture Films",2.2e+07,23530831,10006327,"Thriller/Suspense","PG-13",114,2054,4871.63,7.1,1,57700,61
"Transporter 3","11/26/08","Lionsqate",4e+07,31316973,12063452,"Action","PG-13",104,2626,4593.85,5.9,0,86300,38
"Tropic Thunder","08/13/08","Paramount",9.2e+07,110416702,25812796,"Comedy","R",107,3319,7777.28,7.2,11,2220000,82
